GRCode,short name,clade,genus,trivial,subnames,subnames,taxon_author,date,senior synonym,,,
GR3487,Gly.avaf,graptolite,Glyptograptus,avitus_aff,*,*,Underwood_et_al,1998,9999,,,
GR5205,?Cli.spi,graptolite,?Climacograptus,spiniferus,*,*,*,*,99999,,,
GR5163,?Dic.sp.,graptolite,?Dicranograptus,sp.,*,*,*,*,99999,,,
GR5210,?Neu.mar_cf,graptolite,?Neurograptus,margaritatus_cf,*,*,*,*,99999,,,
GR5218,?Ort.calacu_cf,graptolite,?Orthograptus,calcaratus,acutus_cf,*,*,*,99999,,,
GR5144,Did.acutcf,graptolite,Acrograptus,acutidens_cf,*,*,*,*,99999,,,
GR4247,Acr.afcf,graptolite,Acrograptus,affinis_cf,*,*,_Caballe_et_al,2005,99999,,,
GR4985,Acr.cogn,graptolite,Acrograptus,cognatus?,*,*,Norford_et_al,2002,99999,,,
GR4246,Acr.elaf,graptolite,Acrograptus,ellesi_aff,*,*,_Caballe_et_al,2005,99999,,,
GR4305,Acr.grcf,graptolite,Acrograptus,gracilis_cf,*,*,*,*,99999,,,
GR4787,Acr.sp.,graptolite,Acrograptus,sp,*,*,*,*,99999,,,
GR4788,Acr.sp'art,graptolite,Acrograptus,sp_artus_type_dev,*,*,Maletz_&_Ahlberg,2011,99999,,,
GR3293,Ade.alcf,graptolite,Adelograptus,altus_cf,*,*,Williams_&_Stevens,*,99999,,,
GR3239,Ade.tecf,graptolite,Adelograptus,tenellus_cf,*,*,*,*,99999,,,
GR4544,Age.sicf,graptolite,Agetograptus,sichuanensis_cf,*,*,*,*,99999,,,
GR3606,Air.fuaf,graptolite,Airograptus,furciferus_aff,*,*,_Zhang_&_Erdtmann,2004,99999,,,
GR4969,Aki cf.,graptolite,Akidograptus,ascensus_cf,*,*,Apollonov_et_al_,1980,99999,,,
GR4965,Aki sp.,graptolite,Akidograptus,sp,*,*,Apollonov_et_al_,1980,99999,,,
GR4973,Aki.aff,graptolite,Akidograptus?,acuminatus_aff,*,*,Koren_et_al_,1983,99999,,,
GR3392,Amp.cocf,graptolite,Amplexograptus,confertus_cf,*,*,(Lapworth),*,99999,,,
GR3310,Amp.facf,graptolite,Amplexograptus,fallax_cf,*,*,Bulman,1962,99999,,,
GR4791,Amp.sp.,graptolite,Amplexograptus,sp,*,*,*,*,99999,,,
GR5153,Amp.sp.1,graptolite,Amplexograptus,sp.1,*,*,*,*,99999,,,
GR5152,Amp.sp.2,graptolite,Amplexograptus,sp.2,*,*,*,*,99999,,,
GR5170,Amp.taraff,graptolite,Amplexograptus,tardus_aff,sp.,*,*,*,99999,,,
GR1001,Ani.sp.,graptolite,Anisograptus,sp,*,*,*,*,99999,,,
GR3463,Aor.vigp,graptolite,Aorograptus,victoriae,gp,*,TS_Hall,1899,99999,,,
GR3428,Api.craf,graptolite,Apiograptus,crudus_aff,*,*,_Norford,2002,99999,,,
GR3411,Api.crcf,graptolite,Apiograptus,crudus_cf,*,*,(Harris_&_Thomas),1935,99999,,,
GR1080,Api.sp.,graptolite,Apiograptus,sp,*,*,*,*,99999,,,
GR5189,Ara.?,graptolite,Arachniograptus?,*,*,*,*,*,99999,,,
GR4793,Arc.sp.,graptolite,Archiclimacograptus,sp,*,*,Maletz_et_al,2011,99999,,,
GR3622,Ari.duaf,graptolite,Arienigraptus,dumosus_aff,*,*,_Goldman,2006,99999,,,
GR4795,Ari.indet,graptolite,Arienigraptus,sp,*,*,Maletz,2005,99999,,,
GR4966,Ata sp.,graptolite,Atavogaptus,sp,*,*,Apollonov_et_al_,1980,99999,,,
GR4524,Ata.grcf,graptolite,Atavograptus,gracilis_cf,*,*,*,*,99999,,,
GR4687,Ata.staf,graptolite,Atavograptus,strachani_aff,*,*,_Davies_et_al,1997,99999,,,
GR4504,Ata.staf,graptolite,Atavograptus,strachani_aff,*,*,(_Rickards),1970,99999,,,
GR1022,Aul.sp.,graptolite,Aulograptus,sp,*,*,*,*,99999,,,
GR3282,Aul?feaf,graptolite,Aulograptus?,feistmantelli_aff,*,*,_Dean_et_al,2000,99999,,,
GR4796,Azy.eiv_cf,graptolite,Azygograptus,eivionicus_cf,*,*,Dean_et_al,2000,99999,,,
GR4800,Azy.sp.,graptolite,Azygograptus,sp,*,*,*,*,99999,,,
GR4325,Bal.decf,graptolite,Baltograptus,deflexus_cf,*,*,Maletz_&_Ahlberg,2011,99999,,,
GR4737,Bal.kucf,graptolite,Baltograptus,kunmingensis_cf,*,*,*,*,99999,,,
GR1029,Ber.sp.,graptolite,Bergstroemograptus,sp,*,*,*,*,99999,,,
GR4186,Boh.teaf,graptolite,Bohemograptus,bohemicus,tenuis_aff,*,Koren_&_Sujarkova,2003,99999,,,
GR4194,Boh.coaf,graptolite,Bohemograptus,cornutus_aff,*,*,Koren_&_Sujarkova,2003,99999,,,
GR4193,Boh.teaf,graptolite,Bohemograptus,tenuis_aff,*,*,Koren_&_Sujarkova,2003,99999,,,
GR4751,Bry.kjcf,graptolite,Bryograptus,kjerfuli_cf,*,*,*,*,99999,,,
GR3406,Car.moaf,graptolite,Cardiograptus,morsus_aff,*,*,_Norford,2002,99999,,,
GR5192,Cli.ang_cf,graptolite,Climacograptus,angustus_cf,*,*,*,*,99999,,,
GR5220,Cli.ant_cfpol,graptolite,Climacograptus,antiquus_cf,polytheca,*,*,*,99999,,,
GR4349,Cli.ant?,graptolite,Climacograptus,antiquus?,*,*,*,*,99999,,,
GR3321,Cli.mucf,graptolite,Climacograptus,brevis,mutabilis_cf,*,Strachan,1960,99999,,,
GR5171,Cli.cauaff,graptolite,Climacograptus,caudatus_aff,sp.,*,*,*,99999,,,
GR3345,Cli.cacf,graptolite,Climacograptus,caudatus_cf,*,*,Lapworth,1876,99999,,,
GR4561,Cli.jaaf,graptolite,Climacograptus,janischewski_aff,*,*,_Melchin,1989,99999,,,
GR4803,Cli.kuk_cf,graptolite,Climacograptus,kukersianus_cf,*,*,Wern_et_al_,1948,99999,,,
GR5207,Cli.lancfsp,graptolite,Climacograptus,lanceolatus_cf,sp.,*,*,*,99999,,,
GR4804,Cli.min_cf,graptolite,Climacograptus,minimus_cf,*,*,Wern_et_al_,1948,99999,,,
GR1030,Cli.ridG,graptolite,Climacograptus,riddellensis,gp,*,Harris,*,99999,,,
GR5165,Cli.spicf,graptolite,Climacograptus,spiniferus_cf,sp.,*,*,*,99999,,,
GR5182,Cli.typsp,graptolite,Climacograptus,typicalis,s.s.,*,*,*,99999,,,
GR5126,cli?rug,graptolite,Climacograptus?,rugosus,*,*,Hadding,1915,99999,,,
GR5180,Cli.?sp,graptolite,Climacograptus?,sp.,*,*,*,*,99999,,,
GR4451,Cli?unif,graptolite,Climacograptus?,uniformis,*,*,*,*,99999,,,
GR4311,Clo.flcf,graptolite,Clonograptus,flexilis_cf,*,*,(Hall),1857,99999,,,
GR3263,Clo.micf,graptolite,Clonograptus,milesi_cf,*,*,JHall,*,99999,,,
GR5134,Clo.rigcf,graptolite,Clonograptus,rigidus_cf,*,*,*,*,99999,,,
GR1007,Clo.sp.,graptolite,Clonograptus,ss,sp,*,*,*,99999,,,
GR4810,Clo.sub_type,graptolite,Clonograptus,subtilis_type,*,*,Maletz,2005,99999,,,
GR4993,Col.prae,graptolite,Colonograptus,praedeubeli?,*,*,Lenz_&_Kozlowska,2002,99999,,,
GR4550,Com.tacf,graptolite,Comograptus,tabukensis_cf,*,*,*,*,99999,,,
GR4671,Cor.miaf,graptolite,Coronograptus,gregarius,minisculus_aff,*,_Davies_et_al,1997,99999,,,
GR4816,Cor.def_cf,graptolite,Corymbograptus,deflexus_cf,*,*,Dean_et_al,2000,99999,,,
GR4115,Cor.caaf,graptolite,Corynoides,calicularis_aff,*,*,_Palsson,2002,99999,,,
GR3317,Cor.cacf,graptolite,Corynoides,calicularis_cf,*,*,Nicholson,1867,99999,,,
GR4811,Cor.cal_cf,graptolite,Corynoides,calicularis_cf,*,*,Skoglund,1963,99999,,,
GR4812,Cor.sp.,graptolite,Corynoides,sp,*,*,*,*,99999,,,
GR3429,Cry.ancf,graptolite,Cryptograptus,antennarius_cf,*,*,Hall,1865,99999,,,
GR3434,Cry.incf,graptolite,Cryptograptus,inutilis_cf,*,*,*,*,99999,,,
GR2473,Cry.sccf,graptolite,Cryptograptus,schaeferi_cf,*,*,Lapworth,1880,99999,,,
GR4813,Cry.sp.,graptolite,Cryptograptus,sp,*,*,*,*,99999,,,
GR5212,Cry.tri_cf,graptolite,Cryptograptus,tricornis_cf,*,*,*,*,99999,,,
GR5158,Cry.?sp.,graptolite,Cryptograptus?,sp.,*,*,*,*,99999,,,
GR4590,Cyr.grcf,graptolite,Cyrtograptus,gracilis_cf,*,*,*,*,99999,,,
GR4112,Cyr.laaf,graptolite,Cyrtograptus,lapworthi_aff,*,*,_Lenz,1980,99999,,,
GR4578,Cyr.tuaf,graptolite,Cyrtograptus,lundgreni_aff,*,*,_Lenz_&_Melchin,1990,99999,,,
GR4598,Cyr.lucf,graptolite,Cyrtograptus,lundgreni_cf,*,*,*,*,99999,,,
GR4587,Cyr.macf,graptolite,Cyrtograptus,malgusaricus_cf,*,*,*,*,99999,,,
GR4588,Cyr.macf,graptolite,Cyrtograptus,mancki_cf,*,*,*,*,99999,,,
GR4815,Cyr.rad_cf,graptolite,Cyrtograptus,radians_cf,*,*,Nyers_&_Nilsson,1973,99999,,,
GR4589,Cyr.racf,graptolite,Cyrtograptus,ramosus_cf,*,*,*,*,99999,,,
GR4585,Cyr.riaf,graptolite,Cyrtograptus,rigidus_aff,*,*,_Lenz_&_Melchin,1990,99999,,,
GR4947,Cys?sp.,graptolite,Cystograptus?,sp,*,*,Chen_et_al,2001,99999,,,
GR4613,Dem.prcf,graptolite,Demirastrites,praedecipiens_cf,*,*,(Sudbury),*,99999,,,
GR3500,Den.ticf,graptolite,Dendrograptus,titanus_cf,*,*,Kraft,1990,99999,,,
GR4784,?Den.sp.,graptolite,Dendrograptus?,sp,*,*,*,*,99999,,,
GR5198,Des.?,graptolite,Desmograptus?,*,*,*,*,*,99999,,,
GR4817,Dia.sp.,graptolite,Dicaulograptus,sp,*,*,Maletz,1998,99999,,,
GR4634,Dic.ancf,graptolite,Dicellograptus,anceps_cf,*,*,Nicholson,1867,99999,,,
GR4533,Dic.coaf,graptolite,Dicellograptus,complanatus_aff,*,*,Fan_&_Chen,2007,99999,,,
GR4632,Dic.cocf,graptolite,Dicellograptus,complanatus_cf,*,*,Storch_et_al,2011,99999,,,
GR5187,Dic.diccf,graptolite,Dicellograptus,divaricatus_cf,*,*,*,*,99999,,,
GR5162,Dic.fle.cf,graptolite,Dicellograptus,flexuosus_cf,*,*,*,*,99999,,,
GR5166,Dic.flcf.sp,graptolite,Dicellograptus,flexuosus_cf,sp.,*,*,*,99999,,,
GR3424,Dic.gecf,graptolite,Dicellograptus,geniculatus_cf,*,*,*,*,99999,,,
GR5194,Dic.joh_cf,graptolite,Dicellograptus,johnstrupi_cf,*,*,*,*,99999,,,
GR4109,Dic.moaf,graptolite,Dicellograptus,moffatensis_aff,*,*,_Sobolevskaya,*,99999,,,
GR3303,Dic.moaf,graptolite,Dicellograptus,moffatensis_aff,*,*,_Williams_et_al,2003,99999,,,
GR5169,Dic.patcf,graptolite,Dicellograptus,patulosus_cf,sp.,*,*,*,99999,,,
GR1034,Dic.sext,graptolite,Dicellograptus,sextans,ssp,*,(Hall),*,99999,,,
GR4819,Dic.sp.,graptolite,Dicellograptus,sp,*,*,*,*,99999,,,
GR3593,Dic.cecf,graptolite,Dicranograptus,celticus_cf,*,*,Elles_&_Wood,1904,99999,,,
GR5175,Dic.kiaffsp,graptolite,Dicranograptus,kirki_aff,sp.,*,*,*,99999,,,
GR5200,Dic.nic_cf,graptolite,Dicranograptus,nicholsoni_cf,*,*,*,*,99999,,,
GR5168,Dic.niccf,graptolite,Dicranograptus,nicholsoni_cf,sp.,*,*,*,99999,,,
GR5186,Dic.ram_cf,graptolite,Dicranograptus,ramosus_cf,sp.,*,*,*,99999,,,
GR4912,Dicr.sp.,graptolite,Dicranograptus,sp,*,*,*,*,99999,,,
GR4838,Dic.sp.,graptolite,Dictyonema,sp,*,*,*,*,99999,,,
GR5143,Did.protcf,graptolite,Didymograptellus,protoindentus_cf,*,*,(Monsen),1937,99999,,,
GR5145,Didy.sp,graptolite,Didymograptellus,sp.,*,*,*,*,99999,,,
GR4979,Did.art,graptolite,Didymograptus,artus,group Maletz,*,Maletz_et_al,2011,99999,,,
GR4652,Did.baaf,graptolite,Didymograptus,balticus_aff,*,*,_Cooper_et_al,2004,99999,,,
GR4753,Did.bacf,graptolite,Didymograptus,balticus_cf,*,*,*,*,99999,,,
GR4825,Did.con_aff,graptolite,Didymograptus,constrictus_aff,*,*,Maletz_et_al,1991,99999,,,
GR4827,Did.con_aff,graptolite,Didymograptus,constricus_aff,*,*,Lindholm,1981,99999,,,
GR4820,Did.def_aff,graptolite,Didymograptus,deflexus_aff,*,*,Lindholm,1981,99999,,,
GR4821,Did.dem_aff,graptolite,Didymograptus,demissus_aff,*,*,Lindholm,1981,99999,,,
GR4661,Did.euaf,graptolite,Didymograptus,euodus_aff,*,*,_Cooper_et_al,2004,99999,,,
GR3230,Did.fecf,graptolite,Didymograptus,ferrugineus_cf,*,*,(Suess),*,99999,,,
GR4667,Did.gocf,graptolite,Didymograptus,goldschmidti_cf,*,*,Monsen,1937,99999,,,
GR3419,Did.grcf,graptolite,Didymograptus,gracilis_cf,*,*,T_rnquist,1891,99999,,,
GR4823,Did.hir_cf,graptolite,Didymograptus,hirundo_cf,*,*,Nilsson,1983,99999,,,
GR4654,Did.kucf,graptolite,Didymograptus,kunmingensis_cf,*,*,Ni,1979,99999,,,
GR3422,Did.lecf,graptolite,Didymograptus,lepidus_cf,*,*,Ni,1979,99999,,,
GR1109,Did.murc,graptolite,Didymograptus,murchisoni,gp,*,*,*,99999,,,
GR4822,Did.nich_aff,graptolite,Didymograptus,nicholsoni_aff,*,*,Lindholm,1981,99999,,,
GR4834,Did.nich_cf,graptolite,Didymograptus,nicholsoni_cf,*,*,Paskevicius,1976,99999,,,
GR3416,Did.niaf,graptolite,Didymograptus,nitidus_aff,*,*,_Norford,2002,99999,,,
GR3421,Did.nicf,graptolite,Didymograptus,nitidus_cf,*,*,(Hall),1858,99999,,,
GR3457,Did.prcf,graptolite,Didymograptus,protobifidus_cf,*,*,*,*,99999,,,
GR4831,Did.sp.,graptolite,Didymograptus,sp,sensu stricto,*,*,*,99999,,,
GR3231,Did.spcf,graptolite,Didymograptus,spinulosus_cf,*,*,(Perner),*,99999,,,
GR4824,Did.sten_cf,graptolite,Didymograptus,stenbergensis_cf,*,*,Nilsson,1983,99999,,,
GR4828,Did.sue_aff,graptolite,Didymograptus,suecicus_aff,*,*,Lindholm,1981,99999,,,
GR4754,Did.sucf,graptolite,Didymograptus,suecicus_cf,*,*,*,*,99999,,,
GR4334,Did.uncf,graptolite,Didymograptus,uniformis_cf,*,*,*,*,99999,,,
GR4836,Did.unif_cf,graptolite,Didymograptus,uniformis_cf,*,*,Paskevicius,1976,99999,,,
GR3418,Did.vicf,graptolite,Didymograptus,vicinus_cf,*,*,Harris_&_Thomas,1938,99999,,,
GR5142,Did.toercf,graptolite,Didymograptus(E.),toernquisti_cf,*,*,(Ruedemann),1904,99999,,,
GR4356,Dim.phaf,graptolite,Dimorphograptus,physophora_aff,*,*,_Storch_&_Kraft,2008,99999,,,
