Section Name,Section Number,Longitude,Latitude,GRCode,,,
75 NY-2,445,-73.91,42.95,GR1131,,,
75 NY-2,445,-73.91,42.95,GR1134,,,
75 NY-2,445,-73.91,42.95,GR1136,,,
75 NY-2,445,-73.91,42.95,GR1137,,,
75 NY-2,445,-73.91,42.95,GR1138,,,
75 NY-2,445,-73.91,42.95,GR1139,,,
75 NY-2,445,-73.91,42.95,GR1140,,,
75 NY-2,445,-73.91,42.95,GR1143,,,
75 NY-2,445,-73.91,42.95,GR1149,,,
75 NY-2,445,-73.91,42.95,GR1150,,,
75 NY-2,445,-73.91,42.95,GR1198,,,
75 NY-2,445,-73.91,42.95,GR1264,,,
75 NY-2,445,-73.91,42.95,GR1320,,,
75 NY-2,445,-73.91,42.95,GR2491,,,
75 NY-2,445,-73.91,42.95,GR2605,,,
75 NY-2,445,-73.91,42.95,GR2747,,,
75 NY-2,445,-73.91,42.95,GR3172,,,
75 NY-2,445,-73.91,42.95,GR3178,,,
75 NY-2,445,-73.91,42.95,GR3251,,,
75 NY-2,445,-73.91,42.95,GR3301,,,
75 NY-2,445,-73.91,42.95,GR4045,,,
75 NY11,577,-73.99,43.02,GR1131,,,
75 NY11,577,-73.99,43.02,GR1134,,,
75 NY11,577,-73.99,43.02,GR1136,,,
75 NY11,577,-73.99,43.02,GR1137,,,
75 NY11,577,-73.99,43.02,GR1138,,,
75 NY11,577,-73.99,43.02,GR1139,,,
75 NY11,577,-73.99,43.02,GR1140,,,
75 NY11,577,-73.99,43.02,GR1143,,,
75 NY11,577,-73.99,43.02,GR1144,,,
75 NY11,577,-73.99,43.02,GR1149,,,
75 NY11,577,-73.99,43.02,GR1150,,,
75 NY11,577,-73.99,43.02,GR1264,,,
75 NY11,577,-73.99,43.02,GR1320,,,
75 NY11,577,-73.99,43.02,GR2491,,,
75 NY11,577,-73.99,43.02,GR2605,,,
75 NY11,577,-73.99,43.02,GR3172,,,
75 NY11,577,-73.99,43.02,GR3178,,,
75 NY11,577,-73.99,43.02,GR3301,,,
75 NY11,577,-73.99,43.02,GR4870,,,
83W-421,344,3.28,50.82,GR1425,,,
83W-421,344,3.28,50.82,GR1430,,,
83W-421,344,3.28,50.82,GR1446,,,
83W-421,344,3.28,50.82,GR1480,,,
83W-421,344,3.28,50.82,GR1560,,,
83W-421,344,3.28,50.82,GR1580,,,
83W-421,344,3.28,50.82,GR1794,,,
83W-421,344,3.28,50.82,GR1808,,,
83W-421,344,3.28,50.82,GR1809,,,
83W-421,344,3.28,50.82,GR1814,,,
83W-421,344,3.28,50.82,GR2029,,,
83W-421,344,3.28,50.82,GR2872,,,
83W-421,344,3.28,50.82,GR2908,,,
83W-421,344,3.28,50.82,GR3037,,,
83W-421,344,3.28,50.82,GR4156,,,
83W-44,345,3.29,50.82,GR1430,,,
83W-44,345,3.29,50.82,GR1446,,,
83W-44,345,3.29,50.82,GR1453,,,
83W-44,345,3.29,50.82,GR1454,,,
83W-44,345,3.29,50.82,GR1456,,,
83W-44,345,3.29,50.82,GR1460,,,
83W-44,345,3.29,50.82,GR1480,,,
83W-44,345,3.29,50.82,GR1482,,,
83W-44,345,3.29,50.82,GR1484,,,
83W-44,345,3.29,50.82,GR1486,,,
83W-44,345,3.29,50.82,GR1489,,,
83W-44,345,3.29,50.82,GR1490,,,
83W-44,345,3.29,50.82,GR1548,,,
83W-44,345,3.29,50.82,GR1549,,,
83W-44,345,3.29,50.82,GR1560,,,
83W-44,345,3.29,50.82,GR1663,,,
83W-44,345,3.29,50.82,GR1794,,,
83W-44,345,3.29,50.82,GR1808,,,
83W-44,345,3.29,50.82,GR1809,,,
83W-44,345,3.29,50.82,GR1814,,,
83W-44,345,3.29,50.82,GR2022,,,
83W-44,345,3.29,50.82,GR2110,,,
83W-44,345,3.29,50.82,GR2741,,,
83W-44,345,3.29,50.82,GR2872,,,
83W-44,345,3.29,50.82,GR2883,,,
83W-44,345,3.29,50.82,GR4157,,,
A-A',356,-68.6,-30.3,GR1277,,,
AB2-91,199,-95.75,75.2267,GR1504,,,
AB2-91,199,-95.75,75.2267,GR1516,,,
AB2-91,199,-95.75,75.2267,GR1590,,,
AB2-91,199,-95.75,75.2267,GR1593,,,
AB2-91,199,-95.75,75.2267,GR1970,,,
AB2-91,199,-95.75,75.2267,GR3038,,,
AB2-91,199,-95.75,75.2267,GR3077,,,
AB2-91,199,-95.75,75.2267,GR3080,,,
AB2-91,199,-95.75,75.2267,GR3080,,,
AB2-91,199,-95.75,75.2267,GR3082,,,
AB2-91,199,-95.75,75.2267,GR4987,,,
AB2-91,199,-95.75,75.2267,GR4988,,,
AB2-91,199,-95.75,75.2267,GR4989,,,
AB2-99,205,-95.725,75.233,GR1503,,,
AB2-99,205,-95.725,75.233,GR1520,,,
AB2-99,205,-95.725,75.233,GR1596,,,
AB3-98,203,-95.75,75.2267,GR1520,,,
AB3-98,203,-95.75,75.2267,GR3082,,,
AB3-98,203,-95.75,75.2267,GR4987,,,
AB3-98,203,-95.75,75.2267,GR4992,,,
AB3-98,203,-95.75,75.2267,GR4993,,,
AB3-98,203,-95.75,75.2267,GR4994,,,
AB92,200,-95.75,75.2267,GR1501,,,
AB92,200,-95.75,75.2267,GR1514,,,
AB92,200,-95.75,75.2267,GR1520,,,
AB92,200,-95.75,75.2267,GR1596,,,
AB92,200,-95.75,75.2267,GR1970,,,
AB92,200,-95.75,75.2267,GR3082,,,
